,Média,Desvio Padrão
train/box_loss,0.18633000000000002,0.0010750348831549594
train/cls_loss,0.10732000000000001,0.0019183065448462623
train/dfl_loss,0.79305,0.0007697402159170091
metrics/precision(B),0.99107,0.001949333219334219
metrics/recall(B),0.99207,0.0010117311895953194
metrics/mAP50(B),0.99442,0.00023579652245103703
metrics/mAP50-95(B),0.9829466666666667,0.000653630884623189
val/box_loss,0.2012866666666667,0.002073411038200901
