,Média,Desvio Padrão
train/box_loss,0.22749199999999997,0.0020900526309162682
train/cls_loss,0.136276,0.002399474942565558
train/dfl_loss,0.8087540000000001,0.0011318701338934598
metrics/precision(B),0.9747979999999998,0.002719571657449025
metrics/recall(B),0.980776,0.008212467960363649
metrics/mAP50(B),0.991678,0.0016625793214159771
metrics/mAP50-95(B),0.9686079999999999,0.0030163918843545455
val/box_loss,0.23351800000000003,0.0023542238636119536
